,uniqueid,salary,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
695,2015SLNperaljh01,15000000,155.0,579.0,64.0,71.0,159.0,26.0,1.0,17.0,50.0,111.0,225,74
696,2015SLNreynoma01,2000000,140.0,382.0,35.0,48.0,88.0,21.0,2.0,13.0,44.0,121.0,220,74
697,2015SLNrosentr01,535000,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,230,74
698,2015SLNsiegrke01,518000,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,77
699,2015SLNvillaca01,2000000,35.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,220,74
700,2015SLNwachami01,520000,30.0,52.0,5.0,4.0,8.0,1.0,0.0,0.0,4.0,20.0,215,78
701,2015SLNwainwad01,19500000,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,230,79
702,2015SLNwaldejo01,2675000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,77
703,2015SLNwongko01,520000,150.0,557.0,71.0,61.0,146.0,28.0,4.0,11.0,36.0,95.0,185,67
704,2015TBAandrima01,507500,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,74
705,2015TBAarchech01,1166667,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,195,74
706,2015TBAbeckhti01,508100,82.0,203.0,24.0,37.0,45.0,7.0,4.0,9.0,13.0,69.0,215,72
707,2015TBAbelivje01,513600,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,73
708,2015TBAboxbebr01,521400,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,70
709,2015TBAcabreas01,7500000,143.0,505.0,66.0,58.0,134.0,28.0,5.0,15.0,36.0,107.0,235,72
710,2015TBAcolomal01,510800,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,73
711,2015TBAdejesda01,5000000,82.0,232.0,24.0,26.0,60.0,8.0,2.0,5.0,19.0,39.0,190,71
712,2015TBAforsylo01,1100000,153.0,540.0,69.0,68.0,152.0,33.0,2.0,17.0,55.0,111.0,195,73
713,2015TBAfrankni01,1021800,44.0,101.0,11.0,7.0,16.0,4.0,1.0,3.0,7.0,37.0,190,73
714,2015TBAfrierer01,800000,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,72
715,2015TBAguyerbr01,515800,128.0,332.0,51.0,28.0,88.0,21.0,2.0,8.0,25.0,61.0,210,74
716,2015TBAjasojo01,3175000,70.0,185.0,23.0,22.0,53.0,17.0,0.0,5.0,28.0,39.0,202,74
717,2015TBAjennide01,3100000,28.0,97.0,9.0,7.0,26.0,2.0,1.0,1.0,8.0,17.0,210,74
718,2015TBAjepseke01,3025000,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,75
719,2015TBAkarnsna01,508800,27.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,225,75
720,2015TBAkiermke01,513800,151.0,505.0,62.0,40.0,133.0,25.0,12.0,10.0,24.0,95.0,210,73
