,salary,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
737,14000000,149.0,555.0,94.0,82.0,153.0,32.0,3.0,22.0,76.0,147.0,205,71
738,508500,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,75
739,975000,33.0,107.0,10.0,15.0,19.0,4.0,0.0,3.0,6.0,40.0,240,74
740,3450000,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,77
741,508500,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,77
742,4125000,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,75
743,24000000,158.0,613.0,78.0,98.0,187.0,28.0,0.0,23.0,64.0,88.0,275,71
744,517000,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,71
745,1100000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,72
746,14000000,33.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,205,74
747,22708749,50.0,170.0,22.0,25.0,43.0,8.0,0.0,8.0,10.0,52.0,240,76
748,7400000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,74
749,509500,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,79
750,4000000,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,240,76
751,4750000,95.0,288.0,26.0,25.0,63.0,12.0,0.0,5.0,16.0,69.0,200,74
752,515000,24.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200,73
753,509500,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,75
754,2950000,132.0,471.0,51.0,85.0,131.0,27.0,0.0,23.0,32.0,112.0,245,75
755,513850,120.0,426.0,54.0,61.0,111.0,21.0,9.0,16.0,23.0,79.0,200,71
756,1000000,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,200,72
757,507000,17.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,195,71
758,900000,55.0,114.0,14.0,7.0,26.0,4.0,0.0,3.0,10.0,30.0,200,74
759,508500,28.0,83.0,10.0,7.0,16.0,5.0,0.0,4.0,3.0,32.0,205,74
760,515200,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,76
761,508500,35.0,60.0,12.0,6.0,8.0,1.0,0.0,1.0,11.0,20.0,210,71
762,519700,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214,73
763,14000000,153.0,543.0,108.0,114.0,136.0,29.0,3.0,40.0,110.0,106.0,205,72
764,20000000,32.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,240,74
765,2475000,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,74
766,12000000,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,215,75
767,4300000,158.0,620.0,122.0,123.0,184.0,41.0,2.0,41.0,73.0,133.0,210,73
768,10000000,146.0,528.0,94.0,111.0,146.0,31.0,0.0,39.0,77.0,98.0,230,73
769,3900000,34.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,180,72
770,512800,128.0,376.0,52.0,45.0,94.0,16.0,4.0,5.0,39.0,83.0,180,70
771,518400,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,235,72
772,520100,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,75
773,510800,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,71
774,527500,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,71
775,7000000,129.0,441.0,76.0,77.0,106.0,23.0,2.0,23.0,53.0,106.0,215,70
776,5000000,54.0,171.0,17.0,20.0,42.0,7.0,0.0,5.0,17.0,29.0,215,69
777,508700,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,74
778,512000,159.0,586.0,76.0,56.0,163.0,31.0,2.0,12.0,28.0,85.0,200,72
779,508500,34.0,94.0,17.0,6.0,21.0,8.0,0.0,2.0,7.0,23.0,200,74
780,520000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,75
781,22000000,69.0,288.0,36.0,34.0,82.0,17.0,0.0,4.0,17.0,38.0,195,72
782,1021600,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,76
783,2875000,9.0,31.0,2.0,3.0,6.0,0.0,0.0,0.0,5.0,10.0,225,76
784,1000000,132.0,296.0,44.0,59.0,67.0,16.0,1.0,18.0,29.0,86.0,220,76
